Word,Frequency,Rank
the,4844,1
and,4672,2
was,2385,3
her,2381,4
not,2101,5
she,1778,6
that,1730,7
you,1677,8
had,1606,9
for,1321,10
have,1301,11
with,1187,12
very,1151,13
but,1148,14
his,1088,15
Emma,865,16
all,835,17
could,825,18
would,815,19
been,759,20
him,758,21
Mrs,699,22
any,651,23
Miss,592,24
were,591,25
must,564,26
She,562,27
will,559,28
which,552,29
from,535,30
Harriet,506,31
said,484,32
much,478,33
more,464,34
are,447,35
such,440,36
Weston,439,37
what,434,38
them,432,39
there,420,40
this,418,41
than,415,42
one,413,43
thing,398,44
every,398,45
they,392,46
Knightley,389,47
Elton,385,48
think,380,49
should,366,50
The,357,51
being,356,52
little,354,53
never,347,54
good,340,55
know,337,56
your,337,57
did,335,58
only,327,59
might,322,60
well,315,61
Woodhouse,313,62
when,312,63
say,308,64
You,303,65
own,301,66
Jane,301,67
their,297,68
But,293,69
who,281,70
herself,279,71
now,273,72
time,272,73
can,270,74
quite,269,75
great,263,76
how,263,77
too,253,78
some,248,79
about,246,80
most,243,81
has,243,82
before,243,83
Fairfax,241,84
nothing,237,85
always,235,86
man,233,87
thought,226,88
And,224,89
Churchill,223,90
soon,221,91
see,220,92
other,220,93
again,219,94
dear,217,95
may,213,96
out,212,97
shall,212,98
without,211,99
first,209,100
Frank,208,101
father,207,102
sure,204,103
made,199,104
like,199,105
body,193,106
day,190,107
young,190,108
ever,189,109
indeed,181,110
friend,177,111
two,171,112
though,169,113
better,166,114
into,163,115
Hartfield,160,116
just,159,117
come,159,118
give,157,119
way,155,120
really,153,121
make,152,122
then,150,123
They,148,124
Bates,148,125
himself,146,126
rather,145,127
having,145,128
long,144,129
hope,143,130
done,142,131
seemed,141,132
after,140,133
over,139,134
away,138,135
cannot,138,136
wish,134,137
many,133,138
here,133,139
upon,133,140
home,130,141
enough,129,142
woman,129,143
There,129,144
mind,128,145
does,125,146
Highbury,125,147
even,122,148
happy,122,149
moment,120,150
heard,120,151
last,119,152
came,119,153
going,118,154
its,118,155
room,117,156
love,117,157
take,116,158
half,116,159
look,116,160
however,114,161
pleasure,114,162
felt,113,163
while,113,164
sort,112,165
morning,110,166
letter,109,167
still,109,168
saw,108,169
How,108,170
This,108,171
yet,106,172
another,106,173
poor,106,174
few,106,175
something,105,176
myself,102,177
feelings,102,178
same,102,179
What,102,180
believe,101,181
hear,100,182
idea,100,183
off,99,184
speak,99,185
doubt,98,186
subject,97,187
party,96,188
evening,96,189
till,95,190
feel,95,191
house,95,192
ought,94,193
word,94,194
people,93,195
right,92,196
place,92,197
found,92,198
deal,92,199
looked,91,200
John,90,201
Randalls,90,202
certainly,90,203
often,90,204
our,89,205
Smith,89,206
want,89,207
present,89,208
coming,89,209
knew,88,210
Her,88,211
Yes,88,212
almost,87,213
those,87,214
Well,86,215
visit,86,216
least,85,217
best,85,218
old,85,219
Martin,85,220
possible,84,221
both,83,222
hour,83,223
once,82,224
friends,82,225
kind,82,226
cried,81,227
perhaps,81,228
world,81,229
together,81,230
else,80,231
suppose,80,232
Perry,80,233
life,80,234
gone,79,235
replied,79,236
told,78,237
family,77,238
given,77,239
whole,76,240
That,76,241
happiness,76,242
obliged,76,243
manner,75,244
wanted,75,245
find,74,246
tell,73,247
seen,73,248
mother,72,249
able,72,250
lady,72,251
ill,72,252
hardly,71,253
between,71,254
whom,71,255
where,71,256
opinion,71,257
side,71,258
far,70,259
down,70,260
Isabella,69,261
looking,69,262
carriage,69,263
less,68,264
understand,68,265
three,68,266
wife,68,267
left,68,268
get,67,269
back,67,270
short,67,271
person,67,272
ready,66,273
part,66,274
talked,66,275
heart,66,276
pretty,66,277
comfort,65,278
afraid,65,279
extremely,65,280
towards,65,281
perfectly,65,282
situation,64,283
answer,64,284
let,64,285
general,64,286
spirits,64,287
began,64,288
next,63,289
since,63,290
nor,63,291
sir,63,292
put,63,293
marry,63,294
set,63,295
therefore,62,296
daughter,62,297
Cole,61,298
course,61,299
change,61,300
either,61,301
whether,61,302
through,61,303
under,61,304
sorry,61,305
talk,60,306
thinking,60,307
others,60,308
things,60,309
known,60,310
true,60,311
attention,59,312
mean,59,313
account,59,314
Goddard,59,315
dare,59,316
longer,59,317
superior,59,318
assure,59,319
children,59,320
bad,58,321
taken,58,322
His,57,323
equal,57,324
years,57,325
yourself,56,326
state,56,327
degree,56,328
feeling,56,329
sense,56,330
making,56,331
aunt,56,332
return,56,333
passed,55,334
name,55,335
walk,55,336
cold,54,337
gave,54,338
nobody,54,339
leave,54,340
brother,54,341
business,54,342
brought,54,343
minutes,53,344
because,53,345
imagine,53,346
hand,53,347
walked,52,348
beyond,52,349
manners,52,350
talking,52,351
natural,51,352
satisfied,51,353
Campbell,51,354
When,51,355
seeing,51,356
Very,51,357
usual,51,358
directly,51,359
point,51,360
eyes,51,361
exactly,51,362
among,51,363
bear,51,364
care,51,365
saying,51,366
read,50,367
glad,50,368
rest,50,369
agreeable,50,370
days,50,371
affection,50,372
Such,49,373
wonder,49,374
appeared,49,375
Donwell,49,376
used,49,377
words,49,378
society,48,379
wished,48,380
Taylor,48,381
attachment,48,382
these,48,383
means,48,384
door,47,385
voice,47,386
took,47,387
dinner,47,388
girl,47,389
pleased,47,390
interest,47,391
allow,47,392
believed,46,393
went,46,394
son,46,395
each,46,396
giving,46,397
speaking,46,398
near,46,399
against,46,400
likely,46,401
remember,45,402
London,45,403
already,45,404
walking,45,405
air,45,406
doing,45,407
called,44,408
full,44,409
farther,44,410
Dixon,44,411
married,44,412
strong,44,413
smile,44,414
character,43,415
stay,43,416
meant,43,417
hoped,43,418
regard,43,419
ask,43,420
different,42,421
proper,42,422
ladies,42,423
need,42,424
spoke,42,425
call,41,426
afterwards,41,427
fine,41,428
reason,41,429
real,41,430
power,41,431
night,41,432
five,41,433
respect,41,434
particular,40,435
sitting,40,436
beginning,40,437
themselves,40,438
open,40,439
early,40,440
head,40,441
expected,40,442
kindness,40,443
end,40,444
allowed,40,445
nature,40,446
entirely,39,447
meeting,39,448
object,39,449
health,39,450
whose,39,451
question,39,452
help,39,453
creature,39,454
returned,39,455
settled,39,456
delightful,39,457
fond,39,458
round,39,459
pleasant,39,460
One,39,461
Not,39,462
weather,39,463
child,38,464
wrong,38,465
sit,38,466
met,38,467
bring,38,468
fortune,38,469
asked,38,470
fancy,38,471
thoughts,38,472
letters,38,473
Colonel,38,474
continued,38,475
impossible,38,476
use,38,477
sometimes,37,478
yes,37,479
sat,37,480
convinced,37,481
seem,37,482
surprize,37,483
truth,37,484
added,37,485
handsome,37,486
Every,37,487
engaged,37,488
meaning,36,489
received,36,490
necessary,36,491
got,36,492
temper,36,493
Enscombe,36,494
consider,36,495
new,36,496
determined,36,497
appear,36,498
Now,36,499
forward,36,500
probably,36,501
news,35,502
supposed,35,503
taste,35,504
company,35,505
gentleman,35,506
please,35,507
large,35,508
amiable,34,509
husband,34,510
common,34,511
obliging,34,512
marriage,34,513
morrow,34,514
sister,33,515
wanting,33,516
evil,33,517
acquainted,33,518
excellent,33,519
sent,33,520
why,33,521
pain,33,522
perfect,33,523
match,32,524
meet,32,525
face,32,526
keep,32,527
Robert,32,528
neither,32,529
dancing,32,530
ago,32,531
absolutely,32,532
hearing,32,533
surprized,32,534
matter,32,535
case,31,536
begin,31,537
eye,31,538
Maple,31,539
resolution,31,540
except,31,541
Abbey,31,542
persuaded,31,543
Grove,31,544
ball,31,545
engagement,31,546
compliment,31,547
yesterday,31,548
smiling,31,549
danger,31,550
praise,31,551
second,31,552
says,31,553
spoken,31,554
With,30,555
serious,30,556
Poor,30,557
difficulty,30,558
warm,30,559
knows,30,560
worth,30,561
months,30,562
appearance,30,563
fair,30,564
small,30,565
twenty,30,566
drawing,30,567
difference,30,568
anxious,30,569
pass,30,570
papa,30,571
merely,29,572
attentions,29,573
men,29,574
greatest,29,575
within,29,576
four,29,577
greater,29,578
delighted,29,579
cheerful,29,580
beauty,29,581
judgment,29,582
looks,29,583
turned,29,584
followed,29,585
week,29,586
charming,29,587
gratitude,29,588
ten,28,589
taking,28,590
resolved,28,591
turn,28,592
occasion,28,593
forget,28,594
easy,28,595
times,28,596
ashamed,28,597
year,28,598
curiosity,28,599
shew,28,600
worse,28,601
conduct,27,602
companion,27,603
loved,27,604
decided,27,605
spirit,27,606
clever,27,607
parties,27,608
honour,27,609
advantage,27,610
happened,27,611
alone,27,612
notice,27,613
view,27,614
Your,27,615
table,27,616
none,27,617
actually,27,618
style,27,619
odd,26,620
favour,26,621
mentioned,26,622
regret,26,623
fortunate,26,624
friendship,26,625
plan,26,626
knowing,26,627
Let,26,628
knowledge,26,629
late,26,630
aware,26,631
marrying,26,632
sight,26,633
Campbells,26,634
Upon,26,635
pity,26,636
completely,26,637
certain,26,638
tried,26,639
For,26,640
excuse,26,641
mine,25,642
quiet,25,643
attached,25,644
lived,25,645
instrument,25,646
sad,25,647
behaviour,25,648
judge,25,649
sake,25,650
hours,25,651
sensible,25,652
quarter,25,653
vain,25,654
led,25,655
guess,25,656
horses,25,657
Crown,25,658
pay,25,659
silent,25,660
struck,25,661
distance,25,662
tea,24,663
seems,24,664
written,24,665
highly,24,666
music,24,667
also,24,668
hurry,24,669
write,24,670
generally,24,671
standing,24,672
entered,24,673
comes,24,674
spite,24,675
turning,24,676
event,24,677
influence,24,678
fact,24,679
gentlemen,24,680
admiration,24,681
thank,24,682
tone,24,683
especially,24,684
instead,24,685
justice,24,686
country,24,687
purpose,23,688
send,23,689
understood,23,690
beautiful,23,691
join,23,692
self,23,693
chuse,23,694
town,23,695
favourite,23,696
summer,23,697
Henry,23,698
hands,23,699
trying,23,700
note,23,701
became,23,702
Dear,23,703
scheme,23,704
due,23,705
thinks,23,706
loss,23,707
wait,22,708
mistaken,22,709
caught,22,710
observed,22,711
pleasing,22,712
blush,22,713
elegant,22,714
quick,22,715
William,22,716
work,22,717
proof,22,718
service,22,719
whenever,22,720
sweet,22,721
enjoyment,22,722
altogether,22,723
couple,22,724
age,22,725
plain,22,726
claims,22,727
Why,22,728
rain,22,729
kept,22,730
telling,22,731
answered,22,732
dance,22,733
pianoforte,22,734
Eltons,22,735
likeness,21,736
suspect,21,737
niece,21,738
hopes,21,739
safe,21,740
observe,21,741
Indeed,21,742
disposed,21,743
try,21,744
invitation,21,745
weeks,21,746
spent,21,747
picture,21,748
After,21,749
secret,21,750
lately,21,751
delight,21,752
command,21,753
promise,21,754
deserve,21,755
useful,21,756
stand,21,757
Here,21,758
scarcely,21,759
lost,21,760
uncle,21,761
